Age,mg25_ppm
65066,1133.119986
65067,1113.141611
65068,1108.947444
65069,1079.768061
65070,1068.508105
65071,1074.515515
65072,1096.13782
65073,1109.352467
65074,1123.95551
65075,1102.913602
65076,1060.293968
65077,1033.30329
65078,1092.062533
65079,1109.643445
65080,1164.451882
65081,1192.093586
65082,1219.069824
65083,1182.395912
65084,1152.471851
65085,1088.251111
65086,1058.472303
65087,1042.479908
65088,1096.174867
65089,1126.074259
65090,1118.43766
65091,1133.503899
65092,1156.690199
65093,1201.92791
65094,1184.969988
65095,1169.335086
65096,1212.09876
65097,1303.519168
65098,1251.742538
65099,1192.469119
65100,1179.271288
65101,1191.128423
65102,1188.941328
65103,1186.754232
65104,1184.567137
65105,1182.380041
65106,1180.192946
65107,1178.005851
65108,1175.818755
65109,1173.63166
65110,1171.444564
65111,1169.257469
65112,1167.070374
65113,1164.883278
65114,1162.696183
65115,1160.509087
65116,1158.321992
65117,1156.134897
65118,1153.947801
65119,1151.760706
65120,1149.57361
65121,1147.386515
65122,1145.19942
65123,1143.012324
65124,1140.825229
65125,1138.638133
65126,1136.451038
65127,1091.911817
65128,1098.070492
65129,1123.699124
65130,1135.302587
65131,1122.350318
65132,1102.795273
65133,1061.420019
65134,1039.256265
65135,1047.023755
65136,1077.959754
65137,1056.503944
65138,986.0016859
65139,980.678173
65140,989.0317117
65141,986.1737936
65142,948.2943166
65143,929.7944103
65144,916.5047043
65145,927.8421328
65146,937.0157309
65147,946.4037361
65148,915.2270159
65149,862.776027
65150,825.5460647
65151,861.3826835
65152,892.4703422
65153,866.6271572
65154,850.1094565
65155,873.5870301
65156,881.0048792
65157,847.8433865
65158,824.7901482
65159,838.6438386
65160,873.2337933
65161,911.0700302
65162,957.5600946
65163,989.6059596
65164,1026.334013
65165,1101.996991
65166,1155.791582
65167,1123.05258
65168,1073.048176
65169,1083.84923
65170,1150.418707
65171,1145.407806
65172,1065.817936
65173,1002.641131
65174,1030.021857
65175,798.762796
65176,1658.733271
65177,2163.134459
65178,1706.977502
65179,966.7539963
65180,1246.290113
65181,1181.108517
65182,1106.6546
65183,1069.929822
65184,1017.173207
65185,990.0696228
65186,993.7215275
65187,1005.634747
65188,1020.136643
65189,1065.4793
65190,1104.169615
65191,1100.264843
65192,1038.679063
65193,988.5640568
65194,963.8157496
65195,961.4814797
65196,960.9731789
65197,991.8556135
65198,1009.912087
65199,947.4710461
65200,960.9544594
65201,1019.994934
65202,1071.901593
65203,1082.145961
65204,1117.070145
65205,1053.419362
65206,983.5705723
65207,955.0773509
65208,976.2230193
65209,909.4528649
65210,819.9315636
65211,813.4660544
65212,850.9464967
65213,859.5405449
65214,882.189543
65215,880.1622738
65216,812.875721
65217,774.8479034
65218,824.7967315
65219,863.766175
65220,824.6266381
65221,761.9894312
65222,759.371967
65223,801.9669781
65224,919.8493704
65225,978.3264118
65226,908.5444461
65227,844.5943616
65228,945.3774419
65229,985.7217355
65230,956.3869623
65231,1009.832694
65232,1050.190052
65233,979.7419276
65234,955.3654712
65235,990.3075696
65236,979.9809436
65237,1026.716146
65238,1100.121291
65239,1134.171437
65240,1139.744457
65241,1138.822226
65242,1103.112407
65243,1118.153734
65244,1210.708488
65245,1308.717915
65246,1360.180707
65247,1407.664555
65248,1404.279532
65249,1353.955805
65250,1368.420431
65251,1438.546832
65252,1490.894313
65253,1471.36159
65254,1485.931049
65255,1528.367953
65256,1476.683573
65257,1412.048017
65258,1384.441503
65259,1302.846674
65260,1198.704718
65261,1188.282405
65262,1164.76852
65263,1149.923961
